"","ID","Regulator","ExamDate","BankName","City","State","AssetSize","ExamMethod","Rating","UnknownVariable","MeanRankingbyQuarterwithinCity","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","ExamDate_d"
"10850",4202,3,"6/1/92","FIRST AMERICAN BANK","STRATFORD","OK",14000,9,2,NA,2,2,NA,"",34.723793,-96.962983,1992-06-01
"10851",15581,3,"10/14/90","THE FIRST STATE BANK","STROUD","OK",17000,9,2,NA,1.5,1.5,NA,"",35.709676,-96.745384,1990-10-14
"10852",12095,1,"4/28/08","STROUD NATIONAL BANK","STROUD","OK",77446,2,1,NA,1.5,1.5,NA,"",35.709676,-96.745384,2008-04-28
"10853",21564,3,"5/5/03","SULPHUR COMMUNITY BANK","SULPHUR","OK",51912,2,2,NA,2,2,85519,"C",34.50705,-96.975343,2003-05-05
"10854",21564,3,"11/1/11","COMMUNITY BANK OF THE ARBUCKLES","SULPHUR","OK",90756,2,3,NA,2.5,2,85519,"C",34.50705,-96.975343,2011-11-01
"10855",22448,3,"1/1/98","FIRST STATE BANK","TAHLEQUAH","OK",55660,2,2,NA,2,1.916666667,86383,"C",35.905724,-94.969644,1998-01-01
"10856",4206,3,"5/1/91","FIRST BANK AND TRUST CO. OF TAHLEQUAH","TAHLEQUAH","OK",129000,9,1,NA,1.5,1.916666667,86383,"C",35.905724,-94.969644,1991-05-01
"10857",9876,3,"7/1/97","DEWEY COUNTY STATE BANK","TALOGA","OK",16196,2,2,NA,2,1.75,NA,"",36.040765,-98.961606,1997-07-01
"10858",25670,3,"4/1/93","REPUBLIC BANK OF TECUMSEH","TECUMSEH","OK",25000,9,2,NA,2,2.333333333,NA,"",35.183973,-96.959439,1993-04-01
"10859",325459,2,"8/20/18","FIRST ST BK IN TEMPLE","TEMPLE","OK",26174,2,2,NA,2,2,NA,"",34.271467,-98.260334,2018-08-20
"10860",8852,1,"8/1/94","FIRST NATIONAL BANK/TEXHOMA","TEXHOMA","OK",37273,9,1,NA,1.5,1.75,NA,"",36.507508,-101.780668,1994-08-01
"10861",327556,2,"5/13/13","ANCHOR D BK","TEXHOMA","OK",175217,2,2,NA,2,1.75,NA,"",36.507508,-101.780668,2013-05-13
"10862",7278,1,"1/12/04","THE FIRST NATIONAL BANK OF THOMAS","THOMAS","OK",33569,2,2,NA,2,2,NA,"",35.709894,-98.81099,2004-01-12
"10863",7278,1,"2/14/94","FIRST NATIONAL BANK OF THOMAS","THOMAS","OK",36892,9,2,NA,2,2,NA,"",35.709894,-98.81099,1994-02-14
"10864",25703,3,"10/1/04","THE BANK OF THE WEST","THOMAS","OK",106073,2,2,NA,2,2,NA,"",35.709894,-98.81099,2004-10-01
"10865",22991,3,"8/1/95","BANK OF JOHNSTON COUNTY","TISHOMINGO","OK",10601,9,2,NA,2,2,NA,"",34.275856,-96.655188,1995-08-01
"10866",19860,3,"7/1/95","THE SERVICE BANK OF TONKAWA","TONKAWA","OK",19232,9,2,NA,2,2,88030,"C",36.683339,-97.306747,1995-07-01
"10867",10668,3,"9/3/90","FARMERS & MERCHANTS BANK","TRYON","OK",4000,9,2,NA,2,2,NA,"",35.875943,-96.962261,1990-09-03
"10868",4032,3,"3/1/02","NBANC","TULSA","OK",161626,2,2,NA,1.971014493,1.944055944,88948,"U",36.105449,-95.901334,2002-03-01
