"","City","State","MeanRankingbyCity","GEOID","UATYPE","LAT","LON","TotalAssets","NumBanks","AvgRating","Banks","cdfi_amt","NumCDFIs","CDFIs"
"6481","READING","MA",2.0625,NA,"",42.537065,-71.107172,898000,2,2.5,"READING CO-OPERATIVE BANK, MASSBANK FOR SAVINGS",NA,NA,NA
"6482","READING","OH",2,NA,"",39.223669,-84.442164,147387,2,2,"VALLEY CENTRAL SAVINGS BANK, VALLEY CENTRAL SAVINGS BANK",NA,NA,NA
"6483","READING","PA",2.125,73693,"U",40.363019,-75.948114,1306607,2,2,"GREAT VALLEY SAVINGS BANK, MAIN STREET BK",129477300,3,"Independence Community Commercial Reinvestment Corp., Neighborhood Housing Services of Greater Berks, Inc., Reading's Future, LLC"
"6484","READLYN","IA",2,NA,"",42.693337,-92.219605,74463,1,2,"READLYN SAVINGS BANK",NA,NA,NA
"6485","RECTOR","AR",2,NA,"",36.310788,-90.329565,28000,1,2,"THE BANK OF RECTOR",NA,NA,NA
"6486","RED BAY","AL",1.857142857,NA,"",34.43982,-88.14087,179670,2,2,"BANK OF RED BAY, COMMUNITY SPIRIT BANK",NA,NA,NA
"6487","RED BLUFF","CA",1.8,73720,"C",40.172317,-122.226848,351931,2,1.5,"MID VALLEY BANK, TEHAMA BK",NA,NA,NA
"6488","RED BUD","IL",2,73747,"C",38.209467,-89.997465,128125,2,2,"NORTH COUNTY SAVINGS BANK, FIRST ST BK OF RED BUD",NA,NA,NA
"6489","RED CLOUD","NE",1.666666667,NA,"",40.201919,-98.500021,59678,1,2,"PEOPLES-WEBSTER COUNTY BANK",NA,NA,NA
"6490","RED LAKE FALLS","MN",2,NA,"",47.885347,-96.270368,122330,2,2,"RED LAKE COUNTY STATE BANK, UNITY BANK NORTH",NA,NA,NA
"6491","RED LEVEL","AL",2,NA,"",31.40711,-86.61219,15265,1,2,"THE PEOPLES BANK OF RED LEVEL",NA,NA,NA
"6492","RED LODGE","MT",1.666666667,NA,"",45.241262,-109.323626,109993,3,1.66666666666667,"UNITED STATES NATIONAL BANK OF RED LODGE, THE UNITED STATES NATIONAL BANK OF RED LODGE, UNITED STATES N. B. OF RED LODGE",NA,NA,NA
"6493","RED OAK","IA",1.538461538,73909,"C",41.015204,-95.2252,224964,2,1.5,"FIRSTAR BANK RED OAK, N.A., HOUGHTON STATE BANK",NA,NA,NA
"6494","RED OAK","TX",1.857142857,NA,"",32.51764,-96.80444,214029,3,2,"FNB OF RED OAK, HERITAGE BANK, THE RED OAK STATE BANK",NA,NA,NA
"6495","RED WING","MN",1.615384615,73963,"C",44.554442,-92.550637,603256,4,1.25,"THE FIRST STATE BANK OF RED WING, NORWEST BANK RED WING, N.A., GOODHUE COUNTY NATIONAL BANK OF RED WING, THE GOODHUE COUNTY NATIONAL  BANK",3692500,1,"RAINSource Capital"
"6496","REDDING","CA",1.875,73774,"U",40.582188,-122.36344,2435124,3,2,"COUNTRY NATIONAL BANK, REDDING BANK OF COMMERCE, MERCHANTS BANK OF COMMERCE",NA,NA,NA
"6497","REDFIELD","SD",1.5,NA,"",44.87581,-98.51871,79975,1,2,"HEARTLAND STATE BANK",NA,NA,NA
"6498","REDLANDS","CA",2,NA,"",34.011935,-117.159696,1300606,3,2,"REDLANDS CENTENNIAL BANK, 1ST CENTENNIAL BANK, REDLANDS FEDERAL BANK, F.S.B.",NA,NA,NA
"6499","REDMOND","WA",2,NA,"",47.678756,-122.121034,50781,1,2,"REDMOND NATIONAL BANK",NA,NA,NA
"6500","REDONDO","CA",2,NA,"",0,0,64767,1,2,"BAY CITIES NATIONAL BANK",NA,NA,NA
"6501","REDONDO BEACH","CA",2.111111111,NA,"",33.830006,-118.387124,390038,2,2,"PENINSULA NATIONAL BANK, BAY CITIES NATIONAL BANK",NA,NA,NA
"6502","REDWOOD CITY","CA",1.833333333,NA,"",37.381144,-122.334825,154891,2,2,"STATEWIDE THRIFT AND LOAN COMPANY, BAY AREA BANK",NA,NA,NA
"6503","REDWOOD FALLS","MN",1.777777778,73990,"C",44.540708,-95.111406,2103989,3,1.33333333333333,"HOMETOWN BANK, MINNWEST BANK, M.V., MINNWEST BANK",NA,NA,NA
"6504","REED CITY","MI",2,NA,"",43.952029,-85.414718,66246,1,2,"FMB-REED CITY BANK",NA,NA,NA
"6505","REEDLEY","CA",2,74044,"C",36.571532,-119.423409,63671,1,2,"KINGS RIVER STATE BANK",NA,NA,NA
"6506","REEDS SPRING","MO",2,NA,"",36.690661,-93.344687,3770603,1,2,"GREAT SOUTHERN BANK",NA,NA,NA
"6507","REEDSBURG","WI",2,74071,"C",43.53603,-89.997413,299349,2,2,"FARMERS AND MERCHANTS BANK, THE REEDSBURG BANK",NA,NA,NA
"6508","REEDSPORT","OR",2.2,74098,"C",43.699933,-124.123204,100595,2,1.5,"PACIFIC STATE BANK, PACIFIC ST BK",NA,NA,NA
"6509","REESEVILLE","WI",2,NA,"",43.287987,-88.887444,81980,1,2,"STATE BANK OF REESEVILLE",NA,NA,NA
"6510","REFORM","AL",1.454545455,NA,"",33.314928,-88.042923,516504,1,1,"WEST ALABAMA BANK & TRUST",582654,1,"West Alabama Bank & Trust"
"6511","REFUGIO","TX",2.090909091,74125,"C",28.307259,-97.275171,371605,3,2.33333333333333,"OLYMPIC SA, WOODFOREST BANK, SAN ANTONIO NATIONAL BANK",NA,NA,NA
"6512","REHOBOTH BEACH","DE",2,NA,"",38.71678,-75.07601,410610,1,2,"COUNTY BANK",NA,NA,NA
"6513","REIDSVILLE","GA",1.666666667,74142,"C",32.060563,-82.142423,63015,1,2,"THE TATTNALL BANK",NA,NA,NA
"6514","REIDSVILLE","NC",2,74152,"C",36.344466,-79.66883,1352718,3,2,"FIRST NATIONAL BANK OF REIDSVILLE, FIRST NATIONAL BANK OF SOUTHEAST, FNB SOUTHEAST",NA,NA,NA
"6515","REINBECK","IA",1.5,NA,"",42.3236,-92.59936,143100,1,1,"LINCOLN SAVINGS BANK",NA,NA,NA
"6516","REISTERSTOWN","MD",2,NA,"",39.487615,-76.796347,249937,1,2,"REISTERSTOWN FEDERAL SAVINGS BANK",NA,NA,NA
"6517","REMBRANDT","IA",1.8,NA,"",42.825241,-95.141444,55924,1,1,"THE FIRST NATIONAL BANK OF REMBRANDT",NA,NA,NA
"6518","REMER","MN",1.666666667,NA,"",47.095793,-94.021032,92446,2,1.5,"SECURITY STATE BANK OF REMER, WOODLAND BANK",NA,NA,NA
"6519","REMINGTON","VA",1,NA,"",38.530877,-77.803719,66733,1,1,"STATE BK OF REMINGTON",NA,NA,NA
"6520","REMSEN","IA",2,NA,"",42.81471,-95.97335,240706,2,2,"FARMERS SAVINGS BANK, IOWA STATE BANK",NA,NA,NA
"6521","RENO","NV",1.777777778,74179,"U",39.532616,-119.795892,175483909,3,2,"HOME FEDERAL BANK, SB, CHARLES SCHWAB BANK, CHARLES SCHWAB BANK, FSA",NA,NA,NA
"6522","RENSSELAER","IN",1.333333333,74206,"C",40.935218,-87.152169,203813,2,1.5,"FIRST OF AMERICA BANK - RENSSELAER, BANK ONE, RENSSELAER, N.A.",NA,NA,NA
"6523","RENTON","WA",2.25,NA,"",47.446982,-122.201521,2242254,3,2.33333333333333,"FIRST SAVINGS BANK OF RENTON, FIRST SAVINGS BANK OF RENTON, FIRST SAVINGS BANK NORTHWEST",1e+05,1,"Kenworth Employees Credit Union"
"6524","RENVILLE","MN",2.5,NA,"",44.760675,-95.240065,62080,2,2.5,"O'CONNOR BROS. STATE BANK OF RENVILLE, FIRST SECURITY BANK - RENVILLE",NA,NA,NA
"6525","REPUBLIC","MO",2,NA,"",37.12005,-93.48019,128774,2,2,"SECURITY STATE BANK, COUNTRYSIDE BANK",NA,NA,NA
"6526","REPUBLIC","OH",2,NA,"",41.146881,-82.970007,38777,1,2,"THE REPUBLIC BANKING COMPANY",NA,NA,NA
"6527","REPUBLICAN CITY","NE",2,NA,"",40.093106,-99.246197,48260,1,2,"COMMERCIAL STATE BANK",NA,NA,NA
"6528","RESERVE","LA",2,NA,"",30.05819,-90.605871,113000,1,2,"BANK OF ST. JOHN",NA,NA,NA
"6529","RESTON","VA",1.76,NA,"",38.96146,-77.3418,31418877,2,1.5,"VISTA FEDERAL SAVINGS BANK, CITIBANK, FEDERAL SAVINGS BANK",18750000,1,"Lower Brule Community Development Enterprise, LLC"
"6530","REVERE","MA",2.2,NA,"",42.40843,-71.01199,89070,1,2,"REVERE FEDERAL SAVINGS BANK",NA,NA,NA
"6531","REYNO","AR",2,NA,"",36.351441,-90.780125,15000,1,2,"FARMERS AND MERCHANTS BANK",NA,NA,NA
"6532","REYNOLDS","GA",1.857142857,NA,"",32.551695,-84.092715,85756,2,2,"THE CITIZENS STATE BANK, THE CITIZENS STATE BANK OF TAYLOR COUNTY",NA,NA,NA
"6533","REYNOLDS","IL",3.3125,NA,"",41.32976,-90.67042,89615,1,4,"REYNOLDS STATE BANK",NA,NA,NA
"6534","REYNOLDSVILLE","PA",2,74287,"C",41.094894,-78.887735,136598,2,2,"COMMUNITY FIRST BANK, N.A., COMMUNITY FIRST BANK",NA,NA,NA
"6535","RHINEBECK","NY",2,74314,"C",41.929031,-73.906792,1351512,3,2,"FIRST NATIONAL BANK OF RHINEBECK, RHINEBECK SAVINGS BANK, RHINEBECK BANK",NA,NA,NA
"6536","RHINELAND","MO",1.857142857,NA,"",38.794225,-91.573653,272288,1,2,"PEOPLES SAVINGS BANK OF RHINELAND",NA,NA,NA
"6537","RHINELANDER","WI",1.4,74341,"C",45.645473,-89.432358,365386,2,1.5,"VALLEY FNB OF RHINELANDER, M&I MERCHANTS BK",NA,NA,NA
"6538","RIALTO","CA",2.25,NA,"",34.111606,-117.377406,48251,1,2,"INLAND COMMUNITY BANK, N.A.",NA,NA,NA
"6539","RICE","TX",2,NA,"",32.24376,-96.4986,136040,1,2,"THE FIRST STATE BANK",NA,NA,NA
"6540","RICE LAKE","WI",1.769230769,74368,"C",45.495152,-91.731892,483124,2,2,"BRILL STATE BANK, DAIRY STATE BANK",28855064,1,"Impact Seven, Inc."
"6541","RICEVILLE","IA",2,NA,"",43.381795,-92.475226,53941,1,2,"FIRST STATE BANK",NA,NA,NA
"6542","RICH HILL","MO",2,NA,"",38.096228,-94.360832,62951,2,2,"SECURITY BANK OF RICH HILL, SECURITY BANK",NA,NA,NA
"6543","RICHARDSON","TX",2,NA,"",32.962811,-96.726826,629918,3,1.66666666666667,"CANYON CREEK NATIONAL BANK, VISION BANK - TEXAS, COMPASS BANK",NA,NA,NA
"6544","RICHFIELD","MN",1.666666667,NA,"",44.883298,-93.283002,674696,1,1,"RICHFIELD BANK & TRUST CO.",NA,NA,NA
"6545","RICHFIELD","UT",2,74395,"C",38.76783,-112.087715,34000,1,2,"VALLEY CENTRAL BANK",NA,NA,NA
"6546","RICHLAND","MO",1,NA,"",37.85698,-92.40434,47000,1,1,"BOATMEN'S BANK OF PULASKI COUNTY",NA,NA,NA
"6547","RICHLAND CENTER","WI",2,74557,"C",43.339595,-90.384686,103077,1,2,"RICHLAND COUNTY BANK",NA,NA,NA
"6548","RICHLANDS","VA",2,74584,"C",37.084195,-81.794324,289693,2,2,"RICHLANDS NATIONAL BANK, FIRST SENTINEL BK",NA,NA,NA
"6549","RICHMOND","CA",1.777777778,NA,"",37.947523,-122.384032,3359032,2,1.5,"THE MECHANICS BANK OF RICHMOND, THE MECHANICS BANK",2.6e+07,1,"The Mechanics Bank Community Development Corporation"
"6550","RICHMOND","IL",2.25,NA,"",42.47585,-88.30593,86453,1,2,"RICHMOND BANK",NA,NA,NA
"6551","RICHMOND","IN",1.958333333,74638,"C",39.831084,-84.889711,720875,2,1.5,"BANK ONE RICHMOND, N.A., HARRINGTON BANK, FSB",1090106,1,"NATCO Credit Union"
